"","lepen","sarkozy","hollande","INSEE","PCwinner","winner"
"1",25.25,31.86,22.44,"01001",31.86,"sarkozy"
"2",21.84,25.86,22.41,"01002",25.86,"sarkozy"
"3",21.3,25.12,26.5,"01004",26.5,"hollande"
"4",24.69,33.51,20.23,"01005",33.51,"sarkozy"
"5",28.74,21.84,24.14,"01006",28.74,"lepen"
"6",22.74,25.57,22.88,"01007",25.57,"sarkozy"
"7",23.63,23,26.37,"01008",26.37,"hollande"
"8",17.78,30.67,16.89,"01009",30.67,"sarkozy"
"9",27.19,22.81,24.04,"01010",27.19,"lepen"
"10",22.94,28.44,16.97,"01011",28.44,"sarkozy"
"11",18.67,24,23.11,"01012",24,"sarkozy"
"12",25.41,32.79,16.39,"01013",32.79,"sarkozy"
"13",16.01,29.27,29.27,"01014",29.27,"hollande"
"14",18.18,30.91,20.91,"01015",30.91,"sarkozy"
"15",25.86,30.6,17.67,"01016",30.6,"sarkozy"
"16",24.38,21.07,20.25,"01017",24.38,"lepen"
"17",17.14,25.71,22.86,"01019",25.71,"sarkozy"
"18",21.68,40.85,15.54,"01021",40.85,"sarkozy"
"19",25.19,25.19,22.02,"01022",25.19,"sarkozy"
"20",34.09,31.82,18.18,"01023",34.09,"lepen"
"21",22.66,29.63,20.06,"01024",29.63,"sarkozy"
"22",24.3,25.73,24.81,"01025",25.73,"sarkozy"
"23",17.04,36.77,21.75,"01026",36.77,"sarkozy"
"24",25.47,32.86,19.74,"01027",32.86,"sarkozy"
"25",27.3,34.12,17.8,"01028",34.12,"sarkozy"
"26",27.16,26.54,20.99,"01029",27.16,"lepen"
"27",26.62,29.26,19.66,"01030",29.26,"sarkozy"
"28",22.32,30.22,23.63,"01031",30.22,"sarkozy"
"29",28.12,26.19,22.22,"01032",28.12,"lepen"
"30",17.32,22.25,32.22,"01033",32.22,"hollande"
"31",20.18,27.22,25.99,"01034",27.22,"sarkozy"
"32",29.55,20,14.55,"01035",29.55,"lepen"
"33",18.91,30.66,19.48,"01036",30.66,"sarkozy"
"34",22.6,37.29,18.64,"01037",37.29,"sarkozy"
"35",18.03,32.79,23.16,"01038",32.79,"sarkozy"
"36",18.32,21.61,35.53,"01039",35.53,"hollande"
"37",25,29.69,17.58,"01040",29.69,"sarkozy"
"38",26.03,20.04,26.24,"01041",26.24,"hollande"
"39",15.2,29.82,20.47,"01042",29.82,"sarkozy"
"40",15.82,37.07,21.5,"01043",37.07,"sarkozy"
"41",26.01,22.3,25,"01044",26.01,"lepen"
"42",26.9,42.76,12.41,"01045",42.76,"sarkozy"
"43",25.92,37.76,18.78,"01046",37.76,"sarkozy"
"44",21.39,29.48,18.88,"01047",29.48,"sarkozy"
"45",23.44,29.98,21.46,"01049",29.98,"sarkozy"
"46",37.85,29.38,14.12,"01050",37.85,"lepen"
"47",24.36,16.67,32.05,"01051",32.05,"hollande"
"48",19.25,40.38,17.37,"01052",40.38,"sarkozy"
"49",14.2,27.67,31.83,"01053",31.83,"hollande"
"50",23.61,31.03,20.69,"01054",31.03,"sarkozy"
"51",29.08,34.66,15.54,"01056",34.66,"sarkozy"
"52",29.56,23.72,19.71,"01057",29.56,"lepen"
"53",25.9,26.1,23.9,"01058",26.1,"sarkozy"
"54",22.97,29.73,24.32,"01059",29.73,"sarkozy"
"55",23.1,35.05,15.49,"01060",35.05,"sarkozy"
"56",24.06,24.49,22.17,"01061",24.49,"sarkozy"
"57",20.9,35.82,18.76,"01062",35.82,"sarkozy"
"58",23.89,35.99,15.61,"01063",35.99,"sarkozy"
"59",31.78,17.05,25.39,"01064",31.78,"lepen"
"60",19.41,30.4,26.47,"01065",30.4,"sarkozy"
"61",18.46,23.08,12.31,"01066",23.08,"sarkozy"
"62",24.68,31.01,16.46,"01067",31.01,"sarkozy"
"63",28.33,26.9,15.24,"01068",28.33,"lepen"
"64",22.53,24.97,24.2,"01069",24.97,"sarkozy"
"65",14.97,39.01,18.34,"01071",39.01,"sarkozy"
"66",17.68,28.33,26.12,"01072",28.33,"sarkozy"
"67",23.26,24.71,25.58,"01073",25.58,"hollande"
"68",25.75,31.58,18.38,"01074",31.58,"sarkozy"
"69",27.03,35.42,15.22,"01075",35.42,"sarkozy"
"70",24.44,26.67,25.56,"01076",26.67,"sarkozy"
"71",22.58,33.06,16.94,"01077",33.06,"sarkozy"
"72",13.11,37.41,19.23,"01078",37.41,"sarkozy"
"73",20.64,28.67,18.35,"01079",28.67,"sarkozy"
"74",28.03,18.56,21.21,"01080",28.03,"lepen"
"75",18.88,28.9,17.48,"01081",28.9,"sarkozy"
"76",18.03,17.38,24.92,"01082",24.92,"hollande"
"77",29.14,35.53,15.23,"01083",35.53,"sarkozy"
"78",25.12,30.14,23.44,"01084",30.14,"sarkozy"
"79",26.89,32.35,13.87,"01085",32.35,"sarkozy"
"80",18.78,36.46,13.81,"01087",36.46,"sarkozy"
"81",28.74,29.25,16.84,"01088",29.25,"sarkozy"
"82",28.67,26.16,19.98,"01089",28.67,"lepen"
"83",24.79,37.61,18.8,"01090",37.61,"sarkozy"
"84",22.5,26.07,23.61,"01091",26.07,"sarkozy"
"85",24.03,29.42,20.91,"01092",29.42,"sarkozy"
"86",19.9,36.79,20.27,"01093",36.79,"sarkozy"
"87",26.6,26.84,22.57,"01094",26.84,"sarkozy"
"88",23.46,21.79,22.63,"01095",23.46,"lepen"
"89",23.76,28.71,19.31,"01096",28.71,"sarkozy"
"90",16.89,28.38,25,"01097",28.38,"sarkozy"
"91",20.13,30.65,18.34,"01098",30.65,"sarkozy"
"92",24,30.38,20,"01099",30.38,"sarkozy"
"93",27.52,23.85,26.61,"01100",27.52,"lepen"
"94",28.07,33.33,14.04,"01101",33.33,"sarkozy"
"95",31.05,25.6,24.19,"01102",31.05,"lepen"
"96",13.49,42.91,17.82,"01103",42.91,"sarkozy"
"97",21.66,30.32,16.97,"01104",30.32,"sarkozy"
"98",19.5,39.72,19.39,"01105",39.72,"sarkozy"
"99",24.77,26.61,22.02,"01106",26.61,"sarkozy"
"100",31,15,25,"01107",31,"lepen"
"101",26.18,26.88,23.96,"01108",26.88,"sarkozy"
"102",20.58,31.29,19.13,"01109",31.29,"sarkozy"
"103",15.96,15.96,28.72,"01110",28.72,"hollande"
"104",23.53,28.24,18.82,"01111",28.24,"sarkozy"
"105",25.23,38.29,12.61,"01112",38.29,"sarkozy"
"106",18.04,38.98,21.83,"01113",38.98,"sarkozy"
"107",22.34,25.18,18.44,"01114",25.18,"sarkozy"
"108",24.1,30.7,18.94,"01115",30.7,"sarkozy"
"109",21.9,22.77,29.39,"01116",29.39,"hollande"
"110",29.21,22.47,20.22,"01117",29.21,"lepen"
"111",21.43,28.74,22.62,"01118",28.74,"sarkozy"
"112",19.86,24.82,16.31,"01119",24.82,"sarkozy"
"113",25.33,40,16,"01121",40,"sarkozy"
"114",21.71,27.46,21.71,"01122",27.46,"sarkozy"
"115",17.92,33.65,21.23,"01123",33.65,"sarkozy"
"116",25.5,20.54,23.02,"01124",25.5,"lepen"
"117",19.47,26.84,24.74,"01125",26.84,"sarkozy"
"118",16.31,29.54,19.08,"01127",29.54,"sarkozy"
"119",24.4,36.9,17.86,"01128",36.9,"sarkozy"
"120",25.31,32.72,19.14,"01129",32.72,"sarkozy"
"121",19.63,32.13,24,"01130",32.13,"sarkozy"
"122",24.22,21.09,25.78,"01133",25.78,"hollande"
"123",22.12,32.06,21.63,"01134",32.06,"sarkozy"
"124",16.14,35.57,16.87,"01135",35.57,"sarkozy"
"125",21.13,34.31,19.87,"01136",34.31,"sarkozy"
"126",21.37,22.31,30.85,"01138",30.85,"hollande"
"127",25,27.94,23.9,"01139",27.94,"sarkozy"
"128",27.47,29.23,17.8,"01140",29.23,"sarkozy"
"129",16.72,24.57,23.55,"01141",24.57,"sarkozy"
"130",23.18,29.82,21.45,"01142",29.82,"sarkozy"
"131",10.56,46.51,16.83,"01143",46.51,"sarkozy"
"132",21.05,30.41,21.44,"01144",30.41,"sarkozy"
"133",28.01,30.04,16.69,"01145",30.04,"sarkozy"
"134",17.84,41.49,19.92,"01146",41.49,"sarkozy"
"135",25.16,23.55,28.71,"01147",28.71,"hollande"
"136",27.22,30.58,17.33,"01148",30.58,"sarkozy"
"137",21.42,26.09,22.47,"01149",26.09,"sarkozy"
"138",15.67,32.84,30.6,"01150",32.84,"sarkozy"
"139",25.44,32.07,19.49,"01151",32.07,"sarkozy"
"140",23.89,24.08,17.73,"01152",24.08,"sarkozy"
"141",12.15,40.4,19.35,"01153",40.4,"sarkozy"
"142",21.59,26.87,21.37,"01154",26.87,"sarkozy"
"143",30.97,33.63,15.93,"01155",33.63,"sarkozy"
"144",30.33,32.49,15.26,"01156",32.49,"sarkozy"
"145",21.44,33.71,19.09,"01157",33.71,"sarkozy"
"146",21.91,34.79,14.18,"01158",34.79,"sarkozy"
"147",19.99,36.95,20.55,"01159",36.95,"sarkozy"
"148",8.89,31.08,30.14,"01160",31.08,"sarkozy"
"149",11.67,33.33,31.67,"01162",33.33,"sarkozy"
"150",24.64,35.66,18.25,"01163",35.66,"sarkozy"
"151",25.74,33.29,17.33,"01165",33.29,"sarkozy"
"152",19.17,37.59,20.17,"01166",37.59,"sarkozy"
"153",20.83,29.86,19.91,"01167",29.86,"sarkozy"
"154",23.6,33.23,15.53,"01169",33.23,"sarkozy"
"155",28.29,30.06,17.49,"01170",30.06,"sarkozy"
"156",21.05,34.89,19.88,"01171",34.89,"sarkozy"
"157",20.18,33.94,17.43,"01172",33.94,"sarkozy"
"158",14.27,32.81,22.1,"01173",32.81,"sarkozy"
"159",22.77,27.72,13.86,"01174",27.72,"sarkozy"
"160",23.72,26.5,17.09,"01175",26.5,"sarkozy"
"161",25.56,27.78,14.44,"01176",27.78,"sarkozy"
"162",11.02,27.56,24.41,"01177",27.56,"sarkozy"
"163",22.59,31.62,22.25,"01179",31.62,"sarkozy"
"164",10.46,49.06,15.55,"01180",49.06,"sarkozy"
"165",23.26,37.21,17.67,"01181",37.21,"sarkozy"
"166",21.34,34.73,12.13,"01182",34.73,"sarkozy"
"167",25.83,32.35,15.86,"01183",32.35,"sarkozy"
"168",21.49,26.24,25.83,"01184",26.24,"sarkozy"
"169",21.97,28.34,18.54,"01185",28.34,"sarkozy"
"170",27.14,37.14,12.86,"01186",37.14,"sarkozy"
"171",15.14,27.98,20.64,"01187",27.98,"sarkozy"
"172",25.06,43.73,10.74,"01188",43.73,"sarkozy"
"173",24.28,18,28.35,"01189",28.35,"hollande"
"174",24.76,24.76,20.95,"01190",24.76,"sarkozy"
"175",31.53,36.94,13.51,"01191",36.94,"sarkozy"
"176",24.96,31.76,16.92,"01192",31.76,"sarkozy"
"177",14.48,25.52,28.28,"01193",28.28,"hollande"
"178",21.91,29.74,23.88,"01194",29.74,"sarkozy"
"179",18.11,29.18,25.75,"01195",29.18,"sarkozy"
"180",29.28,28.82,16.36,"01196",29.28,"lepen"
"181",14.4,25.1,28.4,"01197",28.4,"hollande"
"182",17.72,32.28,26.58,"01198",32.28,"sarkozy"
"183",22.95,25.4,23.96,"01199",25.4,"sarkozy"
"184",22.77,22.77,23.76,"01200",23.76,"hollande"
"185",22.99,27.1,22.39,"01202",27.1,"sarkozy"
"186",22.87,28.51,24.52,"01203",28.51,"sarkozy"
"187",13.75,31.25,18.75,"01204",31.25,"sarkozy"
"188",23.49,24.56,23.67,"01205",24.56,"sarkozy"
"189",20.77,27.32,21.31,"01206",27.32,"sarkozy"
"190",23.08,47.69,8.72,"01207",47.69,"sarkozy"
"191",23.21,25.89,29.46,"01208",29.46,"hollande"
"192",21.7,29.56,24.84,"01209",29.56,"sarkozy"
"193",13.19,43.06,11.11,"01210",43.06,"sarkozy"
"194",21.91,29.46,25.25,"01211",29.46,"sarkozy"
"195",32.94,26.64,19.86,"01212",32.94,"lepen"
"196",30.69,21.22,23.06,"01213",30.69,"lepen"
"197",23.3,18.45,16.5,"01214",23.3,"lepen"
"198",19.35,25.81,22.58,"01215",25.81,"sarkozy"
"199",30.31,29.15,14.48,"01216",30.31,"lepen"
"200",42.37,27.12,11.86,"01218",42.37,"lepen"
"201",26.17,42.06,15.89,"01219",42.06,"sarkozy"
"202",14.41,29.73,34.23,"01221",34.23,"hollande"
"203",26.29,28.1,23.17,"01224",28.1,"sarkozy"
"204",23.6,33.71,21.35,"01225",33.71,"sarkozy"
"205",25.35,28.87,22.89,"01227",28.87,"sarkozy"
"206",25.26,41.32,11.84,"01228",41.32,"sarkozy"
"207",24.07,28.96,21.38,"01229",28.96,"sarkozy"
"208",32.2,28.81,19.21,"01230",32.2,"lepen"
"209",20.54,36.13,17.94,"01231",36.13,"sarkozy"
"210",21.32,30.14,23.68,"01232",30.14,"sarkozy"
"211",21.84,28.74,25.29,"01233",28.74,"sarkozy"
"212",23.39,16.94,29.03,"01234",29.03,"hollande"
"213",21.62,37.98,16.77,"01235",37.98,"sarkozy"
"214",24.23,30.2,20.48,"01236",30.2,"sarkozy"
"215",23.78,34.09,17.21,"01237",34.09,"sarkozy"
"216",22.22,32.28,22.75,"01238",32.28,"sarkozy"
"217",22.74,27.38,22,"01239",27.38,"sarkozy"
"218",35.92,23.54,9.95,"01240",35.92,"lepen"
"219",16.04,24.65,27.36,"01241",27.36,"hollande"
"220",13.33,20,16,"01242",20,"sarkozy"
"221",21.79,30.61,18.72,"01243",30.61,"sarkozy"
"222",19.78,26.96,26.14,"01244",26.96,"sarkozy"
"223",26.6,21.1,17.91,"01245",26.6,"lepen"
"224",22.34,32.12,24.33,"01246",32.12,"sarkozy"
"225",20.1,37.19,9.55,"01247",37.19,"sarkozy"
"226",22.74,30.86,22.28,"01248",30.86,"sarkozy"
"227",19.03,30.92,24.53,"01249",30.92,"sarkozy"
"228",19.14,28.1,22.86,"01250",28.1,"sarkozy"
"229",26.23,31.77,21.32,"01252",31.77,"sarkozy"
"230",17.25,36.14,22.06,"01254",36.14,"sarkozy"
"231",17.76,28.04,28.04,"01255",28.04,"hollande"
"232",29.07,24.23,14.1,"01257",29.07,"lepen"
"233",28.49,35.33,15.81,"01258",35.33,"sarkozy"
"234",31.23,29.32,20.55,"01259",31.23,"lepen"
"235",20.25,43.56,14.11,"01260",43.56,"sarkozy"
"236",21.5,36.79,19.17,"01261",36.79,"sarkozy"
"237",19.24,27.71,28.02,"01262",28.02,"hollande"
"238",21.32,35.85,18.41,"01263",35.85,"sarkozy"
"239",24.25,32.92,20.18,"01264",32.92,"sarkozy"
"240",18.84,27.86,23.38,"01265",27.86,"sarkozy"
"241",21.28,28.4,27.39,"01266",28.4,"sarkozy"
"242",30.09,30.09,15.56,"01267",30.09,"sarkozy"
"243",30.59,29.41,15.88,"01268",30.59,"lepen"
"244",17.78,30.4,25,"01269",30.4,"sarkozy"
