CODGEO,P12_POP
01001,777
01002,235
01004,14233
01005,1642
01006,110
01007,2437
01008,739
01009,338
01010,1069
01011,385
01012,311
01013,160
01014,3440
01015,489
01016,414
01017,424
01019,20
01021,1380
01022,1175
01023,72
01024,3110
01025,3130
01026,829
01027,2785
01028,560
01029,675
01030,866
01031,3642
01032,3172
01033,11590
01034,8870
01035,332
01036,526
01037,277
01038,718
01039,429
01040,463
01041,739
01042,260
01043,4528
01044,547
01045,265
01046,817
01047,915
01049,2903
01050,300
01051,91
01052,310
01053,40171
01054,1230
01056,358
01057,495
01058,889
01059,92
01060,543
01061,1215
01062,777
01063,517
01064,919
01065,1714
01066,73
01067,261
01068,734
01069,1443
01071,4342
01072,2939
01073,979
01074,2402
01075,1160
01076,140
01077,179
01078,1389
01079,788
01080,466
01081,696
01082,636
01083,817
01084,732
01085,363
01087,283
01088,914
01089,1881
01090,346
01091,3136
01092,1578
01093,4957
01094,715
01095,638
01096,959
01097,212
01098,803
01099,1555
01100,152
01101,160
01102,941
01103,1333
01104,451
01105,1394
01106,173
01107,139
01108,1166
01109,2046
01110,118
01111,107
01112,418
01113,785
01114,553
01115,1245
01116,528
01117,145
01118,1203
01119,238
01121,119
01122,815
01123,1081
01124,670
01125,614
01127,507
01128,272
01129,263
01130,1368
01133,375
01134,1716
01135,1964
01136,829
01138,2940
01139,451
01140,726
01141,410
01142,4169
01143,8615
01144,872
01145,1192
01146,389
01147,465
01148,1871
01149,993
01150,214
01151,1153
01152,770
01153,1813
01154,796
01155,144
01156,742
01157,2196
01158,919
01159,3147
01160,8844
01162,65
01163,1980
01165,1450
01166,1972
01167,663
01169,598
01170,974
01171,920
01172,147
01173,10677
01174,168
01175,816
01176,117
01177,170
01179,1943
01180,779
01181,1164
01182,357
01183,1388
01184,796
01185,3921
01186,85
01187,300
01188,583
01189,1117
01190,117
01191,169
01192,2309
01193,211
01194,6306
01195,1664
01196,1091
01197,341
01198,250
01199,2148
01200,202
01202,6789
01203,1149
01204,255
01205,1038
01206,263
01207,297
01208,152
01209,614
01210,229
01211,1385
01212,688
01213,1257
01214,147
01215,53
01216,873
01218,96
01219,154
01221,122
01224,3004
01225,394
01227,428
01228,657
01229,1076
01230,302
01231,1940
01232,2208
01233,129
01234,156
01235,960
01236,1009
01237,1585
01238,2420
01239,628
01240,652
01241,1295
01242,130
01243,1213
01244,7304
01245,853
01246,2111
01247,374
01248,2115
01249,9128
01250,1785
01252,751
01254,1748
01255,537
01257,333
01258,1222
01259,655
01260,241
01261,646
01262,7112
01263,3847
01264,984
01265,3424
01266,2415
01267,1037
01268,248
01269,3588
01271,571
01272,1490
01273,1595
01274,634
01275,2506
01276,1502
01277,127
01279,95
01280,153
01281,4027
01282,254
01283,22436
01284,643
01285,1124
01286,369
01288,2324
01289,6095
01290,1209
01291,795
01292,135
01293,174
01294,831
01295,576
01296,381
01297,770
01298,134
01299,532
01300,440
01301,2374
01302,157
01303,1687
01304,2668
01305,2261
01306,1604
01307,850
01308,812
01309,92
01310,222
01311,42
01312,234
01313,7410
01314,1553
01316,179
01317,271
01318,667
01319,474
01320,3644
01321,871
01322,4311
01323,973
01325,960
01328,594
01329,145
01330,198
01331,164
01332,684
01333,2959
01334,539
01335,340
01336,1118
01337,1209
01338,810
01339,1396
01340,132
01341,150
01342,523
01343,1712
01344,5504
01345,2178
01346,897
01347,1782
01348,2776
01349,440
01350,2489
01351,1490
01352,550
01353,1580
01354,9415
01355,447
01356,208
01357,455
01358,408
01359,233
01360,1501
01361,1428
01362,774
01363,1625
01364,735
01365,1087
01366,934
01367,735
01368,738
01369,885
01370,1770
01371,1197
01372,426
01373,1098
01374,1699
01375,796
01376,3863
01378,2472
01379,724
01380,682
01381,889
01382,296
01383,1500
01384,2216
01385,964
01386,1068
01387,173
01388,1080
01389,1817
01390,1011
01391,289
01392,691
01393,514
01396,1029
01397,1070
01398,1232
01399,1762
01400,141
01401,2035
01402,675
01403,1302
01404,125
01405,1192
01406,166
01407,950
01408,679
01409,129
01410,317
01411,263
01412,556
01413,75
01414,232
01415,432
01416,1085
01417,314
01418,1030
01419,5733
01420,1589
01421,707
01422,1371
01423,797
01424,1648
01425,302
01426,2265
01427,6714
01428,104
01429,654
01430,522
01431,1200
01432,256
01433,319
01434,354
01435,2143
01436,530
01437,222
01439,99
01441,683
01442,378
01443,4430
01444,1158
01445,644
01446,1408
01447,1212
01448,362
01449,669
01450,3200
01451,6160
01452,1141
01453,306
01454,939
01456,74
01457,2850
02001,540
02002,620
02003,1001
02004,202
02005,393
02006,274
02007,113
02008,298
02009,520
02010,176
02011,1137
02012,65
02013,415
02014,749
02015,78
02016,197
02017,303
02018,1930
02019,387
02020,467
02021,84
02022,414
02023,105
02024,54
02025,360
02026,194
02027,264
02028,2624
02029,376
02030,298
02031,679
02032,239
02033,111
02034,104
02035,283
02036,90
02037,1367
02038,75
02039,178
02040,180
02041,826
02042,400
02043,72
02044,30
02046,567
02047,133
02048,118
02049,734
02050,310
02051,385
02052,139
02053,262
02054,472
02055,98
02056,170
02057,1483
02058,776
02059,2675
02060,282
02061,281
02062,139
02063,383
02064,3848
02065,632
02066,213
02067,221
