CODGEO,REG2016
01001,84
01002,84
01004,84
01005,84
01006,84
01007,84
01008,84
01009,84
01010,84
01011,84
01012,84
01013,84
01014,84
01015,84
01016,84
01017,84
01019,84
01021,84
01022,84
01023,84
01024,84
01025,84
01026,84
01027,84
01028,84
01029,84
01030,84
01031,84
01032,84
01033,84
01034,84
01035,84
01036,84
01037,84
01038,84
01039,84
01040,84
01041,84
01042,84
01043,84
01044,84
01045,84
01046,84
01047,84
01049,84
01050,84
01051,84
01052,84
01053,84
01054,84
01056,84
01057,84
01058,84
01059,84
01060,84
01061,84
01062,84
01063,84
01064,84
01065,84
01066,84
01067,84
01068,84
01069,84
01071,84
01072,84
01073,84
01074,84
01075,84
01076,84
01077,84
01078,84
01079,84
01080,84
01081,84
01082,84
01083,84
01084,84
01085,84
01087,84
01088,84
01089,84
01090,84
01091,84
01092,84
01093,84
01094,84
01095,84
01096,84
01097,84
01098,84
01099,84
01100,84
01101,84
01102,84
01103,84
01104,84
01105,84
01106,84
01107,84
01108,84
01109,84
01110,84
01111,84
01112,84
01113,84
01114,84
01115,84
01116,84
01117,84
01118,84
01119,84
01121,84
01122,84
01123,84
01124,84
01125,84
01127,84
01128,84
01129,84
01130,84
01133,84
01134,84
01135,84
01136,84
01138,84
01139,84
01140,84
01141,84
01142,84
01143,84
01144,84
01145,84
01146,84
01147,84
01148,84
01149,84
01150,84
01151,84
01152,84
01153,84
01154,84
01155,84
01156,84
01157,84
01158,84
01159,84
01160,84
01162,84
01163,84
01165,84
01166,84
01167,84
01169,84
01170,84
01171,84
01172,84
01173,84
01174,84
01175,84
01176,84
01177,84
01179,84
01180,84
01181,84
01182,84
01183,84
01184,84
01185,84
01186,84
01187,84
01188,84
01189,84
01190,84
01191,84
01192,84
01193,84
01194,84
01195,84
01196,84
01197,84
01198,84
01199,84
01200,84
01202,84
01203,84
01204,84
01205,84
01206,84
01207,84
01208,84
01209,84
01210,84
01211,84
01212,84
01213,84
01214,84
01215,84
01216,84
01218,84
01219,84
01221,84
01224,84
01225,84
01227,84
01228,84
01229,84
01230,84
01231,84
01232,84
01233,84
01234,84
