"","INSEE","NAME","DPT","REG2016","POP","winT1","ABST1","PCFNT1","PCFNT1INSCRITS","ABST2","PCFNT2","winnerT2","DIFF_ABS","DIFF_PCFN"
"1","01001","L'Abergement-Clémenciat","01",84,777,"LFN",44.69,34.06,18.66,36.99,28.57,"LUD",-7.7,-5.49
"2","01002","L'Abergement-de-Varey","01",84,235,"GAUCHE",41.52,23.62,13.39,36.16,24.46,"GAUCHE",-5.36000000000001,0.84
"3","01004","Ambérieu-en-Bugey","01",84,14233,"LFN",53.34,32.78,14.81,44.66,29.84,"LUD",-8.68000000000001,-2.94
"4","01005","Ambérieux-en-Dombes","01",84,1642,"LFN",52.23,39.22,18.07,43.84,37.89,"LFN",-8.38999999999999,-1.33
"5","01006","Ambléon","01",84,110,"DROITE",49.53,30.77,14.95,42.06,26.67,"LUD",-7.47,-4.1
"6","01007","Ambronay","01",84,2437,"LFN",44.78,32.34,17.12,35.69,29.52,"LUD",-9.09,-2.82
"7","01008","Ambutrix","01",84,739,"LFN",48.68,31.52,15.29,39.37,27.61,"LUD",-9.31,-3.91
"8","01009","Andert-et-Condon","01",84,338,"DROITE",44.57,27.34,14.73,37.21,24.84,"LUD",-7.36,-2.5
"9","01010","Anglefort","01",84,1069,"LFN",53.94,35.42,15.92,46.2,38.75,"LFN",-7.73999999999999,3.33
"10","01011","Apremont","01",84,385,"LFN",47.84,33.86,16.86,38.43,34.67,"LUD",-9.41,0.810000000000002
"11","01012","Aranc","01",84,311,"LFN",45.71,27.46,13.93,39.29,28.57,"GAUCHE",-6.42,1.11
"12","01013","Arandas","01",84,160,"LFN",39.13,37.8,22.46,34.06,36.26,"LUD",-5.07,-1.54
"13","01014","Arbent","01",84,3440,"LFN",58.27,34.58,13.99,48.03,28.36,"LUD",-10.24,-6.22
"14","01015","Arbignieu","01",84,489,"DROITE",48.25,26,13,35.25,17.86,"LUD",-13,-8.14
"15","01016","Arbigny","01",84,414,"DROITE",52.57,36.05,16.01,45.32,31.58,"LUD",-7.25,-4.47
"16","01017","Argis","01",84,424,"LFN",42.07,45.71,25.89,33.66,39.29,"LFN",-8.41,-6.42
"17","01019","Armix","01",84,20,"DROITE",35.14,26.09,16.22,35.14,25,"GAUCHE",0,-1.09
"18","01021","Ars-sur-Formans","01",84,1380,"DROITE",41.85,28.82,16.08,34.08,25.04,"LUD",-7.77,-3.78
"19","01022","Artemare","01",84,1175,"LFN",49.94,40.75,19.2,41.11,37.24,"LFN",-8.83,-3.51
"20","01023","Asnières-sur-Saône","01",84,72,"DROITE",39.22,26.67,15.69,33.33,33.33,"LUD",-5.89,6.66
"21","01024","Attignat","01",84,3110,"DROITE",51.39,31.22,14.81,39.59,27.6,"LUD",-11.8,-3.62
"22","01025","Bâgé-la-Ville","01",84,3130,"LFN",54.33,34.15,15,42.77,32.02,"LUD",-11.56,-2.13
"23","01026","Bâgé-le-Châtel","01",84,829,"DROITE",51.06,24.06,11.27,42.96,23.4,"LUD",-8.1,-0.66
"24","01027","Balan","01",84,2785,"LFN",48.95,39.18,19.28,40.99,36.43,"LFN",-7.96,-2.75
