"","INSEE","ABST2","PCFNT2","winnerT2"
"1","01001",36.99,28.57,"LUD"
"2","01002",36.16,24.46,"GAUCHE"
"3","01004",44.66,29.84,"LUD"
"4","01005",43.84,37.89,"LFN"
"5","01006",42.06,26.67,"LUD"
"6","01007",35.69,29.52,"LUD"
"7","01008",39.37,27.61,"LUD"
"8","01009",37.21,24.84,"LUD"
"9","01010",46.2,38.75,"LFN"
"10","01011",38.43,34.67,"LUD"
"11","01012",39.29,28.57,"GAUCHE"
"12","01013",34.06,36.26,"LUD"
"13","01014",48.03,28.36,"LUD"
"14","01015",35.25,17.86,"LUD"
"15","01016",45.32,31.58,"LUD"
"16","01017",33.66,39.29,"LFN"
"17","01019",35.14,25,"GAUCHE"
"18","01021",34.08,25.04,"LUD"
"19","01022",41.11,37.24,"LFN"
"20","01023",33.33,33.33,"LUD"
"21","01024",39.59,27.6,"LUD"
"22","01025",42.77,32.02,"LUD"
"23","01026",42.96,23.4,"LUD"
"24","01027",40.99,36.43,"LFN"
"25","01028",39.24,42.68,"LFN"
"26","01029",45.24,38.18,"LFN"
"27","01030",43.44,28.27,"LUD"
"28","01031",53.03,29.46,"LUD"
"29","01032",41.58,34.16,"LUD"
"30","01033",54.24,24.98,"GAUCHE"
"31","01034",40.65,24.18,"LUD"
"32","01035",43.75,34.39,"LFN"
"33","01036",39.63,26.27,"LUD"
"34","01037",35.16,32.85,"LUD"
"35","01038",36.76,22.64,"LUD"
"36","01039",42.52,28.8,"GAUCHE"
"37","01040",47.73,27.88,"LUD"
"38","01041",36.7,33.71,"GAUCHE"
"39","01042",34.58,22.22,"LUD"
"40","01043",41.07,20.62,"LUD"
"41","01044",41.54,32.75,"GAUCHE"
"42","01045",35.84,40.91,"LUD"
"43","01046",44.39,36.2,"LUD"
"44","01047",38.4,27.35,"LUD"
"45","01049",41.51,30.85,"LUD"
"46","01050",39.75,41.26,"LUD"
"47","01051",37.62,31.75,"GAUCHE"
"48","01052",34.23,29.34,"LUD"
"49","01053",46.43,16.99,"GAUCHE"
"50","01054",32.76,30.09,"LUD"
"51","01056",32.15,32.35,"LUD"
"52","01057",42.18,36.23,"LFN"
"53","01058",36.56,32.11,"GAUCHE"
"54","01059",21.74,19.12,"GAUCHE"
"55","01060",31.18,30.07,"LUD"
"56","01061",33.93,35.07,"LFN"
"57","01062",33.9,27.08,"LUD"
"58","01063",38.44,27.4,"LUD"
"59","01064",50.3,42.41,"LFN"
"60","01065",35.12,24.21,"LUD"
"61","01066",32.53,41.07,"LFN"
"62","01067",49.28,30,"LUD"
"63","01068",46.17,41.85,"LFN"
"64","01069",38.14,33.02,"LUD"
"65","01071",45.9,20.5,"LUD"
"66","01072",38.87,21.73,"LUD"
"67","01073",40.05,29.8,"GAUCHE"
"68","01074",36.24,28.96,"GAUCHE"
"69","01075",45.39,34.96,"LUD"
"70","01076",37.21,29.33,"GAUCHE"
"71","01077",31.03,33.7,"LUD"
"72","01078",49.8,16.49,"LUD"
"73","01079",38.77,27.3,"GAUCHE"
"74","01080",45.67,26.55,"GAUCHE"
"75","01081",41.44,27.42,"LUD"
"76","01082",46.54,31.58,"GAUCHE"
"77","01083",42.66,46.6,"LFN"
"78","01084",38.99,32,"LUD"
"79","01085",33.33,35.14,"LUD"
"80","01087",34.65,21.92,"LUD"
"81","01088",29.86,34.24,"LUD"
"82","01089",40.5,37.96,"LUD"
"83","01090",40.91,27.63,"LUD"
"84","01091",44.45,32.38,"LUD"
"85","01092",41.99,38.26,"LFN"
"86","01093",46.29,27.17,"LUD"
"87","01094",46.29,36.86,"LUD"
"88","01095",31.83,32.33,"GAUCHE"
"89","01096",44.91,31.03,"LUD"
"90","01097",40.1,26.79,"GAUCHE"
"91","01098",38.23,31.07,"LUD"
"92","01099",41.67,29.32,"LUD"
"93","01100",31.16,26.67,"GAUCHE"
"94","01101",31.69,38.95,"LFN"
"95","01102",43.76,36.52,"LUD"
"96","01103",46.87,22.19,"LUD"
"97","01104",48.54,35.12,"LUD"
"98","01105",38.56,25.37,"LUD"
"99","01106",52.67,25.86,"GAUCHE"
"100","01107",25.21,27.06,"GAUCHE"
"101","01108",39.89,31.24,"GAUCHE"
"102","01109",55.9,29.65,"LUD"
"103","01110",38.94,15.87,"LUD"
"104","01111",44.76,16.07,"LUD"
"105","01112",37.64,37.42,"LUD"
"106","01113",43.26,26.47,"LUD"
"107","01114",39.1,28.77,"LUD"
"108","01115",40.29,36.48,"LFN"
"109","01116",40.37,35.51,"GAUCHE"
"110","01117",40.37,35,"LUD"
"111","01118",44.16,30.45,"LUD"
"112","01119",30.36,16.96,"LUD"
"113","01121",33.72,39.62,"LFN"
"114","01122",33.23,23.34,"LUD"
"115","01123",40.65,27.03,"LUD"
"116","01124",42.27,40.85,"LFN"
"117","01125",38.43,32.96,"GAUCHE"
"118","01127",42.33,27.11,"GAUCHE"
"119","01128",44.19,39.32,"LFN"
"120","01129",32.64,36.59,"LFN"
"121","01130",35.26,30.08,"LUD"
"122","01133",32.8,28.71,"GAUCHE"
"123","01134",41.36,33.09,"LUD"
"124","01135",47.42,25.97,"LUD"
"125","01136",42.55,30.93,"LUD"
"126","01138",46.15,33.9,"GAUCHE"
"127","01139",48.62,36.97,"LUD"
"128","01140",30.35,32.87,"LUD"
"129","01141",33.43,25.33,"GAUCHE"
"130","01142",44.6,32.88,"LUD"
"131","01143",49.44,15.8,"LUD"
"132","01144",42.38,33.82,"LUD"
"133","01145",43.68,35.02,"LUD"
"134","01146",35.23,33.15,"LUD"
"135","01147",34.97,33.48,"LUD"
"136","01148",46.72,36.03,"LUD"
"137","01149",29.7,30.71,"LUD"
"138","01150",28.14,19.83,"GAUCHE"
"139","01151",33.41,37.5,"LFN"
"140","01152",40.43,28.91,"LUD"
"141","01153",48.44,15.76,"LUD"
"142","01154",35.4,26.01,"LUD"
"143","01155",32,51.9,"LFN"
"144","01156",41.17,41.5,"LFN"
"145","01157",39.13,28.48,"LUD"
"146","01158",44.77,31.06,"LUD"
"147","01159",44.53,25.54,"LUD"
"148","01160",55.39,15.18,"LUD"
"149","01162",17.65,18.52,"LUD"
"150","01163",43.95,31.25,"LUD"
"151","01165",35.71,39.07,"LFN"
"152","01166",37.62,29.36,"LUD"
"153","01167",42.3,35.99,"LUD"
"154","01169",35.25,37.24,"LUD"
"155","01170",43.52,32.39,"LUD"
"156","01171",41.8,29.06,"LUD"
"157","01172",41.22,32,"LUD"
"158","01173",55.66,18.66,"LUD"
"159","01174",43.07,10.53,"LUD"
"160","01175",43.09,29.5,"LUD"
"161","01176",32.14,26.39,"LUD"
"162","01177",30.56,16.67,"GAUCHE"
"163","01179",38.42,27.28,"LUD"
"164","01180",50.99,17.43,"LUD"
"165","01181",42.39,28.77,"LUD"
"166","01182",41.86,32.76,"LUD"
"167","01183",36.78,40.17,"LFN"
"168","01184",34.99,26.74,"GAUCHE"
"169","01185",47.03,31.1,"LUD"
"170","01186",28.75,24.56,"LUD"
"171","01187",36.43,23.81,"LUD"
"172","01188",36.27,35.45,"LUD"
"173","01189",41.23,33.81,"GAUCHE"
